,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,sine,white noise
15,5778.2567522786403,1654225.2899509945,4971035.0301234778,1297178.5790876679,11271188.742880469,1028266.3154785013,1504727.1014261574,68515.479418898831,6266247.9674852686,3194715.1699443776,2905448.8151079658,75250.076282636714,7768533.0234481571,10876472.828503368,3107992.0009895642,5799081.0588600384,3085711.7213965352,1675767.9831364164,2014077.4387912948,2127316.8249167595,4723847.5262255659,263721360.8600632,25421645.009588733,18024735.692712691,63842509.685742833,5251053.5357826315,391888.02035449544,1200770.6035231084,15206172.223129371,11023675.101602724,7296203.7249134537,12514045.183238776,19479696.051893827,942183.72405275924,41.351355231958138,1268538.0345462761
16.5,9653.6613252608677,1270852.6324746234,301014.10059789341,9749523.9014882781,3133413.0842810604,5798628.145906277,1005686.312473478,8121.2167241415436,7222206.3716318812,87658.619407746606,3137022.1443833909,84098.792665055269,6907454.9229981555,3153024.8476706832,308535.49036648835,7884321.6060293671,27611028.671108976,548789.06191170705,2765026.1165673644,10187796.346052902,1114740.4109759992,46193026.485415727,30223295.468922492,2171519.8860358978,61330584.044475123,7922441.9138010498,331565.52860851062,3862956.5779034565,23280464.8436068,925490.20433849981,56688048.226096645,9274958.4664742965,20907601.333355077,680554.15531558322,50.922705181812695,788590.30176230753
18,6762.9583656240675,764942.10621929634,1026235.136917063,1255254.3425849536,3299633.3953701076,4514670.6074846666,873681.4605306508,186066.46985810352,273538.66108134406,2220677.7152027446,3550109.2189242207,57496.330089971663,3602532.1278644507,1829467.8542348177,271270.50133404677,7705192.2369875843,12114135.115209315,884123.40928516013,2919758.9667816274,6200024.7690181285,2217521.5042926036,1063619.7914464339,21059303.522760451,17113468.685098205,4264358.1131107612,25263391.883495979,170383.92758649413,1378709.8924891036,6307743.3906713985,12442049.912063148,7040275.2856254391,3937214.3819917622,756346.31389856979,3768639.9732956612,61.791636078166668,196282.16379950207
19.5,8581.8987166230072,347315.67486211169,5116770.877466687,873174.32770777261,651585.50870736025,3810098.9070138945,641481.494560541,315763.26803009643,348109.20246085164,1127212.1059722574,70892.00530072744,81185.140989364692,917398.69396735146,316558.18735923956,448121.32452598901,518105.53901617124,25691021.408268783,2388114.669903053,3299929.2530526323,5188654.6891410099,750046.63068329578,322516.64881302149,1242920.213495183,15055893.137307234,11297211.990947379,11861584.880580924,1165874.7740408119,8460139.7771877944,47281062.488590777,352327.22050538537,7598280.5884405235,768091.1448229911,409179.66215526249,4291461.0928421346,74.083706657438256,980534.12605855695
21,3953.4179102448888,547129.17039083026,3675162.8310502986,681958.16403116542,9381914.2770088241,136080.66375701965,265258.93012070446,8288.8093593590384,619890.09862778219,6659055.917197966,1981.7955705059182,50496.520934108776,1405126.2169466529,536985.52504608687,388101.59362269932,2009375.329747814,1055732.7234566833,884094.64326582185,5773860.7636807486,11513958.256317208,3333684.3380573392,2033807.0900500908,17109442.887650803,21709077.018113475,23918174.442044377,8749862.935024973,2180965.3375831083,3597097.2663412308,24104885.414013334,1193446.7038669072,3336991.9306539171,771511.70864423621,10451738.9669684,5297093.9802693082,87.945645336467621,394548.30507131241
22.5,8064.6463552272317,1008709.252071199,8342362.0130570224,616259.48428719793,4285129.5977676613,1055166.9104328714,224572.31913414752,2126.0960751238504,2210915.5967575675,7471154.919669942,991465.54012186464,54399.905834331592,1233084.5087617424,54885.583898424346,799057.18221675092,1522655.2336067932,2850948.3433738034,932666.49105240882,9233409.8428192064,5908782.1667394498,471654.34045653377,1852960.0362133977,10518140.856567765,27096118.868748322,12853433.310132664,35893274.453668088,1523527.8555786957,3596153.9341018624,2014950.4695012439,345678.239213405,7779953.6909183497,5328549.1518833563,1450839.1400567673,2202600.9185803877,103.54888346694339,1371460.8655636397
24,9486.4646965424854,1850233.7165046472,1273374.1756440697,378909.67714761593,4241688.6310606394,1002412.2764088495,1494464.8268827251,140485.44126768186,196076.35701890473,1520716.4497878756,1061722.4159663944,48501.377667342924,896162.08035459486,84186.146593462356,60166.194944259194,42056.701241432529,12191844.251343826,85344.223368786406,10398670.816114759,10058593.400962865,432346.80427787057,143505.40939536199,3256200.3329077605,3920493.1442699721,14041670.878654284,20958637.602085445,691126.88231437898,156359.62956264743,4000965.8623369345,1669906.6889604114,1945513.1721646127,1296108.7294442141,3449607.8110216358,4650547.6481210701,121.09387165287173,834034.85232094384
25.5,10875.704737858041,24624.436713820447,1309504.5624665886,367552.45236635813,894197.46741423442,276467.8300827145,110270.15350898598,16602.637065497889,2286825.0381844523,1583973.7959743827,762399.29295103694,52451.909724599471,3047049.574809547,1841.8983266535506,167588.98930836972,667902.19962594542,2437854.6063099629,1180915.0260730821,8111488.2130834023,9791513.7202551067,92548.083620693695,166913.09752866434,2151151.8287961376,1694804.0923670819,14087425.539069721,37187499.105100036,1244032.5256570382,497581.9748691576,423836.94229572709,528498.49251930881,11078460.783073716,314984.88917904184,6495807.0465392778,2325687.410054754,140.81537101112718,57126.994799579777
27,13165.121392716746,130136.70803304776,3202984.1968294084,323386.40847336425,3406664.466919099,1200791.3495497904,48728.151209104573,35567.213146966351,2565045.0794270411,1213922.5330287348,729901.05074600724,22020.440040559402,3426349.5477506435,459141.18153143954,197965.56980650866,821043.16332948906,5272799.4438864812,352886.76019593078,4499142.6020847475,363226.12017750583,68459.816684344332,889635.32629253808,668243.67452671786,1885447.0946705595,14014098.889402363,34132622.052119613,1349260.3280649621,2494594.2770335069,3485975.2628437215,467653.74166289665,52062639.680809818,2334169.6221600305,720929.55561575806,611340.62967041205,162.98896718108958,81597.63896405531
28.5,7872.3486848486145,169894.22513437117,662247.40817331115,367924.51306193578,1329087.386117541,248664.00010449314,901540.98124386498,41601.824999580502,438335.78296884336,155321.66362465583,371287.4296745598,71113.51078775365,442990.0937866146,633055.2165671105,181417.16160208566,2210268.3973636655,1681034.3128694608,1424713.3974651825,1972029.8104825118,1445568.3548400158,1074486.6641152294,274392.72052001097,1858558.8206257601,4786922.3343227329,247649.66332607251,11482039.779007467,2286286.1432035714,14515676.922439188,654976.636628918,603648.55629524973,11818372.973463047,7908440.4274551393,4482363.3160883905,759010.79430614761,187.93912921410546,313460.92753060779
30,8298.916388892636,1112384.39048293,119642.33369844012,120850.59006338056,1758011.3869432623,5142050.2663894473,69936.033071626531,122253.50670207683,522230.45342188055,6700.5469795752733,787202.80508074921,24453.092729670272,1474948.4036589214,244459.14371208393,79057.125300686181,4877554.3880445827,530471.22879911412,378478.66680171335,1000628.2185654583,4975541.1805819822,553062.46740845894,633654.08989493211,334358.24160361628,2973525.46222447,2693731.6634534542,11464190.570691327,5926788.272480404,1728364.3892011745,2558056.1938693491,11397.723703434403,1840039.6385217053,1030623.7821111837,2081494.9801627919,4852478.6292215986,216.04923512200347,40917.03267183424
31.5,9862.1755043632475,351385.23467145755,604068.42792771547,1310345.9585655225,1448136.1122608592,541123.89248266432,431636.65278968704,11660.709479870684,44164.282775583852,1677080.718629743,775652.95354817912,50842.627065984365,1014365.5458740102,131020.02140326241,302451.34931258659,5000558.9336897116,338963.94649806357,146064.86788881323,1008145.6871340509,6076273.6935355105,772988.72590599733,1713110.0452394187,104259.89223944167,251985.67968477195,1953445.0477909998,9657926.4869731348,1106960.1580078194,2634560.3934596861,2989771.2160975919,248191.14469111693,6945037.5317966314,2031438.2340661068,2000652.7933949102,619083.56235668331,247.77412066959812,357171.46597092639
33,4925.0721091902142,28836.250519017838,1308359.5096849464,218201.41115848327,2026254.8018663167,8669727.9966047816,141683.85346056835,58122.904657894622,370056.52294207574,611221.76411499898,2498953.7796705766,34835.56843584904,652847.88845436799,99168.372737079146,17067.654315405358,5834527.3993277848,143828.14162890284,410088.26925101411,1647850.9014802119,7485442.0069802627,1063936.3766009449,774567.56625743862,510137.09334962204,2021197.511650003,4556339.8438248783,2557392.2656423645,3268940.9234197005,1829601.3699728211,274626.53188244719,1097833.0784546433,3515252.9615395339,1113750.1846022694,5889929.4553139452,1335402.7964330043,283.65589210413253,338472.20627023431
34.5,8164.7990898264343,666113.87121399504,1663920.1891619009,1073388.5839995346,1121551.6801529019,251107.59579180434,632083.61454991123,88091.161913876858,2566117.2345178383,68983.713069361111,136822.63980718734,41393.048325930555,190308.12173176362,331689.14229661773,110011.04803450615,2249077.3629246298,564800.58441426698,288448.81664734485,2497648.0865070289,5676054.9535582606,52080.443392672474,78033.986333190915,656529.26329424686,569059.76776315982,21387.559427590902,6506904.9661090309,434318.49947710417,3213775.4955894966,101093.89662366896,543039.42882800917,4320829.0680617252,389648.3768043312,1980389.4737590801,60074.154106185611,324.34399750954316,4783.1476814411144
36,7113.8010557078214,153393.65672740672,258639.97921338989,1354945.4875692446,269584.22232548724,388421.93938259751,156239.84285740755,73246.400524181736,11213.872573119559,200355.19480625901,1188679.1280142809,15493.407514674502,696060.88095443428,163725.74081015991,51516.404214467999,1527943.3189248552,1800427.2776240788,401579.70100817585,2734559.3684455655,1481999.4016852786,566055.49261450069,59457.342584781843,1388428.9400708228,868373.36000540457,690927.6983918912,3200996.3021345576,6384503.4280680558,5426063.7562297275,93317.385640800785,38654.350884056817,5886388.6263338178,511957.93683947891,3532084.8081394839,2196242.5957238209,370.6209056355537,96025.536873410078
37.5,3675.7568595788016,653036.29989502497,747606.85756456933,21617.715745378184,3341523.1399417832,1074218.3116372055,677918.2602549115,235570.89027404238,1142683.697760629,84244.494139728457,659736.93187367124,31460.067912936673,226730.19415981934,145717.78035015397,123357.91570975493,1766958.391504532,42310.672613925548,832509.75056429429,1986369.8343608861,1040377.6359964703,514127.61385001364,114320.04257315394,1458782.5154354675,1050650.0227685997,235395.60642698646,2516853.8193615512,4377953.0871194582,54892271.187044322,1468477.9191098721,196640.40757305294,1253094.7594174752,441361.01652047376,1915236.0950431442,328671.61543299997,423.43524055769433,251045.4656156436
39,1299.0933228838587,514097.86195862532,858298.64914711344,129534.59972602071,3696.7492050634855,609799.84333909035,112394.38698275234,6519.9150205025544,65020.043672924847,63707.332750062793,218366.26810573749,37630.024987796714,410438.4387651608,43164.899456571213,29886.736430749083,1461539.0739151526,126401.60966283857,109633.64419491928,887456.62659427838,1159427.2344272295,15606.825594340693,1365599.8709317334,79540.255870060355,842272.26181463525,800389.35633239767,1631239.8268970749,36310491.046417728,358504.9239421158,233620.37956601972,177917.07736769441,5784787.2118746629,858326.44194406422,1809296.5832858731,205030.09616866839,483.94493368544829,429007.9489640838
40.5,1588.4645838876133,126287.61071897473,391611.76684108103,379310.63061772496,1296488.10339925,32630.427499991005,29800.903129421611,5810.3395312307393,548938.15285398171,2065028.5803251504,288447.38779690582,21968.762508571817,944747.7390417225,19917.061155902811,21262.779012280615,408373.96969570441,762914.18883943057,14956.222757170161,231171.03476737198,195277.85955942125,174899.68893190776,1443452.3920527773,2118438.3921096493,2328653.2713240939,15528.014399879305,1347482.081953228,71337159.00023976,152749085.38892534,329023.47304483672,37801.124928829362,2639699.1767246556,345885.5451833753,35260.956088338957,73189.379297197127,553.57398625228177,4162313.602355272
42,6875.1167656405014,19577.765791763977,361593.09730862221,94204.324812129242,953111.43589089229,177263.4509511576,19399.957709783572,29441.126876688551,635550.66512720229,298408.51387814787,880608.8642567863,21712.067383839421,375513.21472138457,5496.4714839268054,89875.077648594946,1710815.1798443459,1085428.4875323635,3983.8783213326619,72383.768813871662,217341.28495485982,520925.79344114917,204161.21930564637,578218.59647977958,1033541.4361026218,1037107.1850478293,849975.06203981361,126964483.74515373,1738914.8175154291,597520.77481992927,163850.47746788675,870552.59124131,17986.009566930166,2467405.7088015256,647840.48589153471,634.08794895616961,11389.647593249585
43.5,845.78176489315706,74575.863295336181,381286.27058673883,13427.46546792968,3264305.8527085911,618697.14386534085,288936.44789018517,150073.62632013045,410537.57172805647,877739.60758655565,153989.24104562242,24466.726840036339,13792.842348439013,45555.505196541446,74051.783141894397,929346.00858295348,212779.86894362111,114527.19216422278,76722.979481928909,38842.982347694247,576670.69872699399,100411.74133209237,491351.07447579148,506649.8491103992,392272.3404035361,184569.58998834275,73896675.062564775,76095054.407534361,1426944.9878671577,110349.4535299237,3224139.0315729268,1116001.7783188657,34029.235996748706,586633.83473698038,727.69548013630833,64983.812013483832
45,2233.4809182417521,1110522.5431751681,529436.9363631251,114034.34491343166,3359950.5935375285,361535.10568037711,326303.7779017057,137296.63122436966,448255.21401484951,1174779.7216749627,1287007.0705332016,42942.065254000023,95248.214601728891,26598.27270299568,43208.499001942611,131962.72030283581,820929.24374661001,201566.45900228544,202500.8593667493,215921.93193595269,1237699.3408388766,532246.53137827665,43058.57367019316,1002335.3831212613,32146.221101670188,764627.18423038011,7808897.203922485,533002.54359804257,189592.51661106583,16718.409029528968,1511970.1086969448,1928912.5433707328,1640719.870337574,64475.435054666705,837.18675877888791,449174.39745792799
46.5,6778.8272973616131,112964.40227124958,55336.924954443668,53736.456864633597,3307504.3280629404,984214.07162844471,21233.595513950626,46606.680507196048,1308950.4851662593,1120034.3061155977,14799.818817400987,17629.076765256676,417109.94147595187,204.03120677094452,1864.2841728301858,471324.0754669446,610369.36889438401,11270.972618352709,510212.76142884331,425629.96055292827,538662.65163224889,11090.106650003443,288026.20277770655,813863.83360574779,91101.965330598599,549302.4450796711,10642349.117195811,3440314.9633846832,177750.31925931553,298731.91466796276,1673140.6445272721,1085554.085997636,112935.87581317083,1314862.9492255647,966.12479478689579,1006023.8541682471
48,5373.8264749370537,144691.85686787279,425781.49009957915,406170.57950761571,103577.20951462997,1054058.4924750414,356886.39581635984,6982.2047046140442,61468.218413256,1002831.1994759985,703992.45161318895,18057.944882545613,184773.88339449797,33495.765843565008,87468.583518908563,1639500.9586919302,720180.60226310103,96118.203916933853,714450.11151826498,120424.64721357696,44072.065876145287,96151.000538945911,104435.26150667372,368310.75632557098,251738.10281342172,465229.92887094821,122987.10308987752,3239008.8454391584,477290.31436680263,367641.08471764252,1747400.3442577787,2026798.1379844854,17586.371562128556,15661.747650158666,1119.1139612394104,75020.556305619524
49.5,10.640642091258174,273477.6413622456,78051.988953965614,410913.62720449234,2850437.9688854679,228614.43477119406,70548.179016896844,8320.3265404427839,17828.750851201436,593117.17037512537,425483.59616176033,13377.968013806565,560779.38428115845,30151.18759468753,38853.025759736563,1953266.7068214645,597446.26777892292,1587.4242113588825,510446.58673391835,63400.702927630235,344588.67631220852,127929.63122135146,28331.73763898831,2117273.8072858276,159412.33221248575,1220484.7274347332,3978723.8055506521,833253.26319503284,319064.06195840065,63626.203421935374,2791657.962643072,1427587.8873094458,3749018.8246942242,179141.22882315601,1302.183383757726,369100.94834871037
51,450.45164482279603,233746.65816195094,96369.259256292775,318609.7178654485,137327.1289686946,1298948.9886027547,280921.31874406355,33779.200103465933,360054.10208908899,163969.22607524812,201427.55739252595,14782.354455913885,50669.253609502943,14395.030669258418,25321.669968491857,105199.96645211113,38114.343910739408,75989.942003334712,133279.86872702555,37297.274187734525,154227.7323624845,170144.19605563677,572012.47369828774,39040.071715163001,849300.78702057479,1132668.9671963525,69488.128670604914,659688.08886456501,461009.32825104304,99379.311512266868,3249520.8289877707,735554.71608414559,796493.94297851785,539986.70640100271,1523.3447285150048,825805.6755416313
52.5,195.96306964040141,180519.21908829195,243406.9093120521,203492.55883494264,607183.24928939622,485871.57995204366,46413.787741815679,24415.999110915469,179411.60052309142,98751.785385076684,123901.32154793074,6745.6704992222731,104261.1145609581,11338.087874568839,16393.637673864567,1159751.3997435004,415572.36954660231,33837.324065656234,84086.014251443397,51581.188547736492,329240.87592102948,28756.154662628836,626828.7835932367,349388.60520738317,1318253.4277978104,360915.51087959367,75622.72969692247,5265841.935517692,8986.9764015784604,19033.772269387431,3066312.0483966903,301978.96838618728,1295086.0078243339,670395.10073313303,1793.4209487170749,555621.92893192417
54,2256.3802152621952,163866.73270618063,140436.45178708388,260219.06952896988,710054.27172578557,10481.062306793658,206386.10357700812,16195.776216206787,476738.40471594461,106458.56014685673,53190.71252658905,39670.379218385882,237210.71003024833,9390.0110496792204,86737.269342402695,965406.11633755581,508308.20986669196,49743.466550535049,406565.93917664385,280833.77769858716,128214.61888866166,4563.5067783461709,428340.70152254537,537213.96170543251,427380.91954127088,489123.46704226127,444306.82727460883,768948.29120099486,490077.58518565004,118534.77500416197,2011312.7511008726,230640.46289878126,224480.19379146234,48581.604357871482,2127.3069725728515,1188509.5036511994
55.5,11273.729218318591,174637.82805345027,129392.95433604628,498504.12442650512,435114.64483669848,247101.47540338873,30773.372583048862,150017.29505068617,21680.909291601638,59741.350990699575,238973.29083106929,14076.458361312598,132070.22591986269,10180.765593939024,10947.24773234675,275854.57270888629,4902.475035025479,2451.3679231987658,673845.14216483769,400480.24119679979,189175.30401172093,427078.14890303602,193725.72857345958,118750.70166747824,246652.1721028171,363697.36369078845,110385.20613836171,2953675.9156979676,229313.30800649838,426807.68835027324,1500726.6294326552,1062036.73020072,187170.08849912463,82082.770295140464,2545.9391976386519,189724.69418793239
57,7985.6744717840029,16648.915959587011,31488.755071625324,358541.04474152037,1725100.4278756396,1067531.9406716947,123378.14387997019,136542.1995942806,256605.16664928407,30317.162629132217,148363.26799826333,23506.054457516966,232353.66228244637,18151.449541786646,4320.7038134937775,33025.256212748594,1681670.3498939981,24209.031687958348,646324.23184666468,251252.55682953066,160491.44498670453,199942.64293058927,273856.90277843899,251031.73682531409,480858.90409985068,199430.62681952282,73965.564646171668,450157.99321980629,591339.39978211478,795433.31788739446,857093.58479840262,42332.82948759757,174172.78451142512,128194.83219025699,3079.4670358280646,514408.44497113931
58.5,4218.4052244014993,70869.753563885373,62795.598758202621,132186.69052187362,811894.28543504584,85858.972132562179,388556.60863446927,123619.85271458668,102995.87454644074,75691.050655495841,73021.189217046311,13245.437909468006,256632.69630672078,4910.0079510019041,18212.258176115774,215867.7330160531,217814.60526174621,19866.089836743304,533433.79831727652,126546.92675029616,20863.817508297867,1811.7189634769604,822546.37660786149,63665.100592997282,59539.97243426535,242286.88871547813,161912.20946371864,1263079.2310995099,123856.4002410174,118632.16300007756,1004691.5239033825,251027.43205688513,54824.767192853964,716445.64058239094,3772.5413833259522,490547.53509876295
60,2869.5135915885035,115806.98125018968,60097.805698893164,439842.79031474597,422203.46736825252,386881.13583777944,140733.11306022518,206688.9218593718,369247.50113591284,452381.69136389089,86253.96723599793,10137.614569463471,74871.889422984197,1695.8863411842831,43809.379427777239,61523.798453569158,198216.00884697324,8693.64275130844,566513.70033831231,552775.78772514511,2180.7904276075437,240921.81703003406,1115436.0532352473,641797.16822376044,17142.791505781097,1156568.8563700721,11171.373253960848,272320.01057535724,412505.7174685559,448156.49878145603,535159.90049976856,24480.924680863776,254288.92463926264,106811.85247241087,4693.4978467612991,339711.30872132647
61.5,2969.7987597690967,397656.18442428816,613228.75767623796,24313.543038394051,1903233.6147597318,230421.13296384527,239798.32599515613,152824.46384327897,222532.60578128602,269617.79270518268,50720.705365823575,10821.937860864424,183728.41981325782,3864.3556911191004,5497.0582347638601,518831.22555503488,61901.240503623179,6291.9021098636485,667983.22765403101,12213.961753799149,391519.11380425259,194562.70889927878,98518.758608533142,22876.273315042967,119480.39617223512,693643.06970786687,10136.793448065677,32633.262289265189,49341.656900989634,234078.67249975179,171130.56073309624,8523.8947470067269,1027765.4424517429,136666.27275472536,5951.0830055407996,373654.69872382999
63,1177.0155818790904,92007.217905900354,59242.094389270584,258882.40982513502,1259809.7044307864,769544.19378278358,41980.713742592787,220583.96982372954,199214.63333941202,73009.242311886279,144502.75313732043,11781.706517730916,46735.457212620247,16989.159458569618,9226.7752750618001,888421.66405499261,190092.66551711917,35131.889681410365,660408.97238530323,301495.5417598068,267909.59629604919,55348.09706914056,29759.73778841658,202925.48666528592,287109.32297448948,152020.94034284551,127547.82318829295,38847.5044464846,12180.046057931593,403771.42299476138,950233.71724980604,603228.71328463533,198261.03583775886,14317.443130523652,7726.7108400168554,964857.26553817315
64.5,2617.2261641647115,66658.298540784977,59717.357540625177,51000.35282728482,16290.878834414505,216601.40008839907,2863.7759071238033,208875.59758120458,84107.143990926474,193136.90362313727,41534.550479993435,8051.9870276577694,187292.47869706072,13490.909339665015,53469.255052291432,1297512.8175260813,62801.291615253002,14736.152213683476,540609.68236329604,1116247.7407403854,192740.89733755254,17021.197159789128,51648.829636123337,10835.886552917955,380416.81644833583,102269.83757376157,72733.837770611819,205041.54514717721,104315.15932283025,741123.92291908956,266525.17673066945,461857.63267916575,8290.519899146173,265740.94826903474,10341.158813813712,424830.87181249697
